Statistic,Player,Team,Value,Rank,Year
Triples,Dee Strange-Gordon,Los Angeles,12.0,,2014
2014 N.L. History | 2014 A.L. History | Year-by-Year History,2014 N.L. History | 2014 A.L. History | Year-by-Year History,2014 N.L. History | 2014 A.L. History | Year-by-Year History,,,2014
Complete Games,Clayton Kershaw,Los Angeles,6.0,,2014
ERA,Clayton Kershaw,Los Angeles,1.77,,2014
Games,Will Smith,Milwaukee,78.0,,2014
Games,Tony Watson,Pittsburgh,78.0,,2014
Saves,Craig Kimbrel,Atlanta,47.0,,2014
Shutouts,Henderson Alvarez,Miami,4.0,,2014
Strikeouts,Johnny Cueto,Cincinnati,242.0,,2014
Strikeouts,Stephen Strasburg,Washington,242.0,,2014
Winning Percentage,Clayton Kershaw,Los Angeles,0.875,,2014
Wins,Clayton Kershaw,Los Angeles,21.0,,2014
2014 N.L. History | 2014 A.L. History | Year-by-Year History,2014 N.L. History | 2014 A.L. History | Year-by-Year History,2014 N.L. History | 2014 A.L. History | Year-by-Year History,,,2014
East,Team | Roster,W,,,2014
East,Washington Nationals,96,66.0,0.0,2014
East,Atlanta Braves,79,83.0,0.0,2014
East,New York Mets,79,83.0,0.0,2014
East,Miami Marlins,77,85.0,0.0,2014
East,Philadelphia Phillies,73,89.0,0.0,2014
Central,Team | Roster,W,,,2014
Central,St. Louis Cardinals,90,72.0,0.0,2014
Central,Pittsburgh Pirates,88,74.0,0.0,2014
Central,Milwaukee Brewers,82,80.0,0.0,2014
Central,Cincinnati Reds,76,86.0,0.0,2014
Central,Chicago Cubs,73,89.0,0.0,2014
West,Team | Roster,W,,,2014
West,Los Angeles Dodgers,94,68.0,0.0,2014
West,San Francisco Giants,88,74.0,0.0,2014
West,San Diego Padres,77,85.0,0.0,2014
West,Colorado Rockies,66,96.0,0.0,2014
West,Arizona Diamondbacks,64,98.0,0.0,2014
N.L.,Team | Roster,W,,,2014
2014 National League Final Standings,2014 National League Final Standings,2014 National League Final Standings,,,2014
Base on Balls,Joey Votto,Cincinnati,143.0,,2015
Batting Average,Dee Gordon,Miami,0.333,,2015
Doubles,Matt Carpenter,St. Louis,44.0,,2015
Hits,Dee Gordon,Miami,205.0,,2015
Home Runs,Nolan Arenado,Colorado,42.0,,2015
Home Runs,Bryce Harper,Washington,42.0,,2015
On Base Percentage,Bryce Harper,Washington,0.46,,2015
RBI,Nolan Arenado,Colorado,130.0,,2015
Runs,Bryce Harper,Washington,118.0,,2015
Slugging Average,Bryce Harper,Washington,0.649,,2015
Stolen Bases,Dee Gordon,Miami,58.0,,2015
Total Bases,Nolan Arenado,Colorado,354.0,,2015
Triples,David Peralta,Arizona,10.0,,2015
Complete Games,Jake Arrieta,Chicago,4.0,,2015
Complete Games,Madison Bumgarner,San Francisco,4.0,,2015
Complete Games,Clayton Kershaw,Los Angeles,4.0,,2015
Complete Games,Max Scherzer,Washington,4.0,,2015
ERA,Zack Greinke,Los Angeles,1.66,,2015
Games,Kevin Siegrist,St. Louis,81.0,,2015
Saves,Mark Melancon,Pittsburgh,51.0,,2015
Shutouts,Jake Arrieta,Chicago,3.0,,2015
Shutouts,Clayton Kershaw,Los Angeles,3.0,,2015
Shutouts,Max Scherzer,Washington,3.0,,2015
Strikeouts,Clayton Kershaw,Los Angeles,301.0,,2015
Winning Percentage,Zack Greinke,Los Angeles,0.864,,2015
Wins,Jake Arrieta,Chicago,22.0,,2015
2015 National League Team Standings,2015 National League Team Standings,2015 National League Team Standings,,,2015
East,Team [Click for roster],Wins,,,2015
East,New York Mets,90,72.0,0.0,2015
East,Washington Nationals,83,79.0,0.0,2015
East,Miami Marlins,71,91.0,0.0,2015
East,Atlanta Braves,67,95.0,0.0,2015
East,Philadelphia Phillies,63,99.0,0.0,2015
Central,Team [Click for roster],Wins,,,2015
Central,St. Louis Cardinals,100,62.0,0.0,2015
Central,Pittsburgh Pirates,98,64.0,0.0,2015
Central,Chicago Cubs,97,65.0,0.0,2015
Central,Milwaukee Brewers,68,94.0,0.0,2015
Central,Cincinnati Reds,64,98.0,0.0,2015
West,Team [Click for roster],Wins,,,2015
West,Los Angeles Dodgers,92,70.0,0.0,2015
West,San Francisco Giants,84,78.0,0.0,2015
West,Arizona Diamondbacks,79,83.0,0.0,2015
West,San Diego Padres,74,88.0,0.0,2015
West,Colorado Rockies,68,94.0,0.0,2015
2015 National League Final Standings,2015 National League Final Standings,2015 National League Final Standings,,,2015
Base on Balls,Paul Goldschmidt,Arizona,110.0,,2016
Batting Average,DJ LeMahieu,Colorado,0.348,,2016
Doubles,Daniel Murphy,Washington,47.0,,2016
Hits,Jean Segura,Arizona,203.0,,2016
Home Runs,Nolan Arenado,Colorado,41.0,,2016
Home Runs,Chris Carter,Milwaukee,41.0,,2016
On Base Percentage,Joey Votto,Cincinnati,0.434,,2016
RBI,Nolan Arenado,Colorado,133.0,,2016
Runs,Kris Bryant,Chicago,121.0,,2016
Slugging Average,Daniel Murphy,Washington,0.595,,2016
Stolen Bases,Jonathan Villar,Milwaukee,62.0,,2016
Total Bases,Nolan Arenado,Colorado,352.0,,2016
Triples,Brandon Crawford,San Francisco,11.0,,2016
Triples,Cesar Hernandez,Philadelphia,11.0,,2016
Triples,Chris Owings,Arizona,11.0,,2016
Complete Games,Johnny Cueto,San Francisco,5.0,,2016
ERA,Kyle Hendricks,Chicago,2.13,,2016
Games,Brad Hand,San Diego,82.0,,2016
Saves,Jeurys Familia,New York,51.0,,2016
Shutouts,Clayton Kershaw,Los Angeles,3.0,,2016
Strikeouts,Max Scherzer,Washington,284.0,,2016
Winning Percentage,Jon Lester,Chicago,0.792,,2016
Wins,Max Scherzer,Washington,20.0,,2016
2016 National League Team Standings,2016 National League Team Standings,2016 National League Team Standings,,,2016
East,Team [Click for roster],Wins,,,2016
East,Washington Nationals,95,67.0,0.0,2016
East,New York Mets,87,75.0,0.0,2016
East,Miami Marlins,79,82.0,0.0,2016
East,Philadelphia Phillies,71,91.0,0.0,2016
East,Atlanta Braves,68,93.0,0.0,2016
Central,Team [Click for roster],Wins,,,2016
Central,Chicago Cubs,103,58.0,0.0,2016
Central,St. Louis Cardinals,86,76.0,0.0,2016
Central,Pittsburgh Pirates,78,83.0,0.0,2016
Central,Milwaukee Brewers,73,89.0,0.0,2016
Central,Cincinnati Reds,68,94.0,0.0,2016
West,Team [Click for roster],Wins,,,2016
West,Los Angeles Dodgers,91,71.0,0.0,2016
West,San Francisco Giants,87,75.0,0.0,2016
West,Colorado Rockies,75,87.0,0.0,2016
West,Arizona Diamondbacks,69,93.0,0.0,2016
West,San Diego Padres,68,94.0,0.0,2016
2016 National League Final Standings,2016 National League Final Standings,2016 National League Final Standings,,,2016
Base on Balls,Joey Votto,Cincinnati Reds,134.0,,2017
Batting Average,Charlie Blackmon,Colorado Rockies,0.331,,2017
Doubles,Nolan Arenado,Colorado Rockies,43.0,,2017
Doubles,Daniel Murphy,Washington Nationals,43.0,,2017
Hits,Charlie Blackmon,Colorado Rockies,213.0,,2017
Home Runs,Giancarlo Stanton,Miami Marlins,59.0,,2017
On Base Percentage,Joey Votto,Cincinnati Reds,0.454,,2017
RBI,Giancarlo Stanton,Miami Marlins,132.0,,2017
Runs,Charlie Blackmon,Colorado Rockies,137.0,,2017
Slugging Average,Giancarlo Stanton,Miami Marlins,0.631,,2017
Stolen Bases,Dee Gordon,Miami Marlins,60.0,,2017
Total Bases,Charlie Blackmon,Colorado Rockies,387.0,,2017
Triples,Charlie Blackmon,Colorado Rockies,14.0,,2017
Complete Games,Carlos Martinez,St. Louis Cardinals,2.0,,2017
Complete Games,Ivan Nova,Pittsburgh Pirates,2.0,,2017
Complete Games,Clayton Richard,San Diego Padres,2.0,,2017
Complete Games,Max Scherzer,Washington Nationals,2.0,,2017
ERA,Clayton Kershaw,Los Angeles Dodgers,2.21,,2017
Games,Corey Knebel,Milwaukee Brewers,76.0,,2017
Saves,Greg Holland,Colorado Rockies,41.0,,2017
Saves,Kenley Jansen,Los Angeles Dodgers,41.0,,2017
Shutouts,Carlos Martinez,St. Louis Cardinals,2.0,,2017
Strikeouts,Max Scherzer,Washington Nationals,268.0,,2017
Winning Percentage,Clayton Kershaw,Los Angeles Dodgers,0.818,,2017
Wins,Clayton Kershaw,Los Angeles Dodgers,18.0,,2017
2017 National League Final Team Standings,2017 National League Final Team Standings,2017 National League Final Team Standings,,,2017
East,Team [Click for roster],Wins,,,2017
East,Washington Nationals,97,65.0,0.0,2017
East,Miami Marlins,77,85.0,0.0,2017
East,Atlanta Braves,72,90.0,0.0,2017
East,New York Mets,70,92.0,0.0,2017
East,Philadelphia Phillies,66,96.0,0.0,2017
Central,Team [Click for roster],Wins,,,2017
Central,Chicago Cubs,92,70.0,0.0,2017
Central,Milwaukee Brewers,86,76.0,0.0,2017
Central,St. Louis Cardinals,83,79.0,0.0,2017
Central,Pittsburgh Pirates,75,87.0,0.0,2017
Central,Cincinnati Reds,68,94.0,0.0,2017
West,Team [Click for roster],Wins,,,2017
West,Los Angeles Dodgers,104,58.0,0.0,2017
West,Arizona Diamondbacks,93,69.0,0.0,2017
West,Colorado Rockies,87,75.0,0.0,2017
West,San Diego Padres,71,91.0,0.0,2017
West,San Francisco Giants,64,98.0,0.0,2017
2017 National League Final Standings,2017 National League Final Standings,2017 National League Final Standings,,,2017
Base on Balls,Bryce Harper,Washington Nationals,130.0,,2018
Batting Average,Christian Yelich,Milwaukee Brewers,0.326,,2018
Doubles,Freddie Freeman,Atlanta Braves,44.0,,2018
Doubles,Anthony Rendon,Washington Nationals,44.0,,2018
Hits,Freddie Freeman,Atlanta Braves,191.0,,2018
Home Runs,Nolan Arenado,Colorado Rockies,38.0,,2018
On Base Percentage,Joey Votto,Cincinnati Reds,0.417,,2018
RBI,Javier Baez,Chicago Cubs,111.0,,2018
Runs,Charlie Blackmon,Colorado Rockies,119.0,,2018
Slugging Average,Christian Yelich,Milwaukee Brewers,0.598,,2018
Stolen Bases,Trea Turner,Washington Nationals,43.0,,2018
Total Bases,Christian Yelich,Milwaukee Brewers,343.0,,2018
Triples,Ketel Marte,Arizona Diamondbacks,12.0,,2018
2018 N.L. History | 2018 A.L. History | Year-by-Year History,2018 N.L. History | 2018 A.L. History | Year-by-Year History,2018 N.L. History | 2018 A.L. History | Year-by-Year History,,,2018
Complete Games,Michael Foltynewicz,Atlanta Braves,2.0,,2018
Complete Games,Max Scherzer,Washington Nationals,2.0,,2018
Complete Games,Noah Syndergaard,New York Mets,2.0,,2018
Complete Games,Jameson Taillon,Pittsburgh Pirates,2.0,,2018
ERA,Jacob deGrom,New York Mets,1.7,,2018
Games,Brad Ziegler,Miami Marlins,82.0,,2018
Games,Brad Ziegler,Arizona Diamondbacks,82.0,,2018
Saves,Wade Davis,Colorado Rockies,43.0,,2018
Shutouts,Patrick Corbin,Arizona Diamondbacks,1.0,,2018
Shutouts,Michael Foltynewicz,Atlanta Braves,1.0,,2018
Shutouts,Miles Mikolas,St. Louis Cardinals,1.0,,2018
Shutouts,Max Scherzer,Washington Nationals,1.0,,2018
Shutouts,Chris Stratton,San Francisco Giants,1.0,,2018
Shutouts,Noah Syndergaard,New York Mets,1.0,,2018
Shutouts,Jameson Taillon,Pittsburgh Pirates,1.0,,2018
Shutouts,Trevor Williams,Pittsburgh Pirates,1.0,,2018
Strikeouts,Max Scherzer,Washington Nationals,300.0,,2018
Winning Percentage,Miles Mikolas,St. Louis Cardinals,0.818,,2018
Wins,Jon Lester,Chicago Cubs,18.0,,2018
Wins,Miles Mikolas,St. Louis Cardinals,18.0,,2018
Wins,Max Scherzer,Washington Nationals,18.0,,2018
2018 N.L. History | 2018 A.L. History | Year-by-Year History,2018 N.L. History | 2018 A.L. History | Year-by-Year History,2018 N.L. History | 2018 A.L. History | Year-by-Year History,,,2018
East,Team | Roster,W,,,2018
East,Atlanta Braves,90,72.0,0.0,2018
East,Washington Nationals,82,80.0,0.0,2018
East,Philadelphia Phillies,80,82.0,0.0,2018
East,New York Mets,77,85.0,0.0,2018
East,Miami Marlins,63,98.0,0.0,2018
Central,Team | Roster,W,,,2018
Central,Milwaukee Brewers,96,67.0,0.0,2018
Central,Chicago Cubs,95,68.0,0.0,2018
Central,St. Louis Cardinals,88,74.0,0.0,2018
Central,Pittsburgh Pirates,82,79.0,0.0,2018
Central,Cincinnati Reds,67,95.0,0.0,2018
West,Team | Roster,W,,,2018
West,Los Angeles Dodgers,92,71.0,0.0,2018
West,Colorado Rockies,91,72.0,0.0,2018
West,Arizona Diamondbacks,82,80.0,0.0,2018
West,San Francisco Giants,73,89.0,0.0,2018
West,San Diego Padres,66,96.0,0.0,2018
N.L.,Team | Roster,W,,,2018
2018 National Standings,2018 National Standings,2018 National Standings,,,2018
Base on Balls,Rhys Hoskins,Philadelphia Phillies,116.0,,2019
Batting Average,Christian Yelich,Milwaukee Brewers,0.329,,2019
Doubles,Anthony Rendon,Washington Nationals,44.0,,2019
Doubles,Corey Seager,Los Angeles Dodgers,44.0,,2019
Hits,Ozzie Albies,Atlanta Braves,189.0,,2019
Home Runs,Pete Alonso,New York Mets,53.0,,2019
On Base Percentage,Christian Yelich,Milwaukee Brewers,0.429,,2019
RBI,Anthony Rendon,Washington Nationals,126.0,,2019
Runs,Ronald Acuna Jr.,Atlanta Braves,127.0,,2019
Slugging Average,Christian Yelich,Milwaukee Brewers,0.671,,2019
Stolen Bases,Ronald Acuna Jr.,Atlanta Braves,37.0,,2019
Total Bases,Cody Bellinger,Los Angeles Dodgers,351.0,,2019
Triples,Eduardo Escobar,Arizona Diamondbacks,10.0,,2019
Complete Games,Sandy Alcantara,Miami Marlins,2.0,,2019
Complete Games,Walker Buehler,Los Angeles Dodgers,2.0,,2019
Complete Games,Zach Eflin,Philadelphia Phillies,2.0,,2019
ERA,Hyun-Jin Ryu,Los Angeles Dodgers,2.32,,2019
Games,Alex Claudio,Milwaukee Brewers,83.0,,2019
Saves,Kirby Yates,San Diego Padres,41.0,,2019
Shutouts,Sandy Alcantara,Miami Marlins,2.0,,2019
Strikeouts,Jacob deGrom,New York Mets,255.0,,2019
Winning Percentage,Walker Buehler,Los Angeles Dodgers,0.778,,2019
Wins,Stephen Strasburg,Washington Nationals,18.0,,2019
2019 National League Team Standings,2019 National League Team Standings,2019 National League Team Standings,,,2019
East,Team | Roster,W,,,2019
East,Atlanta Braves,97,65.0,0.0,2019
East,Washington Nationals,93,69.0,0.0,2019
East,New York Mets,86,76.0,0.0,2019
East,Philadelphia Phillies,81,81.0,0.0,2019
East,Miami Marlins,57,105.0,0.0,2019
Central,Team | Roster,W,,,2019
Central,St. Louis Cardinals,91,71.0,0.0,2019
Central,Milwaukee Brewers,89,73.0,0.0,2019
Central,Chicago Cubs,84,78.0,0.0,2019
Central,Cincinnati Reds,75,87.0,0.0,2019
Central,Pittsburgh Pirates,69,93.0,0.0,2019
West,Team | Roster,W,,,2019
West,Los Angeles Dodgers,106,56.0,0.0,2019
West,Arizona Diamondbacks,85,77.0,0.0,2019
West,San Francisco Giants,77,85.0,0.0,2019
West,Colorado Rockies,71,91.0,0.0,2019
West,San Diego Padres,70,92.0,0.0,2019
2019 National League Standings,2019 National League Standings,2019 National League Standings,,,2019
Base on Balls,Bryce Harper,Philadelphia Phillies,49.0,,2020
Batting Average,Juan Soto,Washington Nationals,0.351,,2020
Doubles,Freddie Freeman,Atlanta Braves,23.0,,2020
Hits,Trea Turner,Washington Nationals,78.0,,2020
Home Runs,Marcell Ozuna,Atlanta Braves,18.0,,2020
On Base Percentage,Juan Soto,Washington Nationals,0.49,,2020
RBI,Marcell Ozuna,Atlanta Braves,56.0,,2020
Runs,Freddie Freeman,Atlanta Braves,51.0,,2020
Slugging Average,Juan Soto,Washington Nationals,0.695,,2020
Stolen Bases,Trevor Story,Colorado Rockies,15.0,,2020
Total Bases,Marcell Ozuna,Atlanta Braves,145.0,,2020
Triples,Trevor Story,Colorado Rockies,4.0,,2020
Triples,Trea Turner,Washington Nationals,4.0,,2020
Triples,Mike Yastrzemski,San Francisco Giants,4.0,,2020
2020 N.L. History | 2020 A.L. History | Year-by-Year History,2020 N.L. History | 2020 A.L. History | Year-by-Year History,2020 N.L. History | 2020 A.L. History | Year-by-Year History,,,2020
Complete Games,Trevor Bauer,Cincinnati Reds,2.0,,2020
Complete Games,Aaron Nola,Philadelphia Phillies,2.0,,2020
Complete Games,Adam Wainwright,St. Louis Cardinals,2.0,,2020
ERA,Trevor Bauer,Cincinnati Reds,1.73,,2020
Games,Tyler Rogers,San Francisco Giants,29.0,,2020
Saves,Josh Hader,Milwaukee Brewers,13.0,,2020
Shutouts,Trevor Bauer,Cincinnati Reds,2.0,,2020
Strikeouts,Jacob deGrom,New York Mets,104.0,,2020
Winning Percentage,Max Fried,Atlanta Braves,1.0,,2020
Wins,Yu Darvish,Chicago Cubs,8.0,,2020
2020 N.L. History | 2020 A.L. History | Year-by-Year History,2020 N.L. History | 2020 A.L. History | Year-by-Year History,2020 N.L. History | 2020 A.L. History | Year-by-Year History,,,2020
East,Team | Roster,W,,,2020
East,Atlanta Braves,35,25.0,0.0,2020
East,Miami Marlins,31,29.0,0.0,2020
East,Philadelphia Phillies,28,32.0,0.0,2020
East,New York Mets,26,34.0,0.0,2020
East,Washington Nationals,26,34.0,0.0,2020
Central,Team | Roster,W,,,2020
Central,Chicago Cubs,34,26.0,0.0,2020
Central,Cincinnati Reds,31,29.0,0.0,2020
Central,St. Louis Cardinals,30,28.0,0.0,2020
Central,Milwaukee Brewers,29,31.0,0.0,2020
Central,Pittsburgh Pirates,19,41.0,0.0,2020
West,Team | Roster,W,,,2020
West,Los Angeles Dodgers,43,17.0,0.0,2020
West,San Diego Padres,37,23.0,0.0,2020
West,San Francisco Giants,29,31.0,0.0,2020
West,Colorado Rockies,26,34.0,0.0,2020
West,Arizona Diamondbacks,25,35.0,0.0,2020
N.L.,Team | Roster,W,,,2020
2020 National League Standings,2020 National League Standings,2020 National League Standings,,,2020
Base on Balls,Juan Soto,Washington Nationals,145.0,,2021
Batting Average,Trea Turner,Washington Nationals,0.328,,2021
Batting Average,Trea Turner,Los Angeles Dodgers,0.328,,2021
Doubles,Bryce Harper,Philadelphia Phillies,42.0,,2021
Hits,Trea Turner,Washington Nationals,195.0,,2021
Hits,Trea Turner,Los Angeles Dodgers,195.0,,2021
Home Runs,Fernando Tatis Jr.,San Diego Padres,42.0,,2021
On Base Percentage,Juan Soto,Washington Nationals,0.465,,2021
RBI,Adam Duvall,Miami Marlins,113.0,,2021
RBI,Adam Duvall,Atlanta Braves,113.0,,2021
Runs,Freddie Freeman,Atlanta Braves,120.0,,2021
Slugging Average,Bryce Harper,Philadelphia Phillies,0.615,,2021
Stolen Bases,Trea Turner,Washington Nationals,32.0,,2021
Stolen Bases,Trea Turner,Los Angeles Dodgers,32.0,,2021
Total Bases,Trea Turner,Washington Nationals,319.0,,2021
Total Bases,Trea Turner,Los Angeles Dodgers,319.0,,2021
Triples,David Peralta,Arizona Diamondbacks,8.0,,2021
Triples,Bryan Reynolds,Pittsburgh Pirates,8.0,,2021
2021 N.L. History | 2021 A.L. History | Year-by-Year History,2021 N.L. History | 2021 A.L. History | Year-by-Year History,2021 N.L. History | 2021 A.L. History | Year-by-Year History,,,2021
Complete Games,German Marquez,Colorado Rockies,3.0,,2021
Complete Games,Adam Wainwright,St. Louis Cardinals,3.0,,2021
Complete Games,Zack Wheeler,Philadelphia Phillies,3.0,,2021
ERA,Corbin Burnes,Milwaukee Brewers,2.43,,2021
Games,Tyler Rogers,San Francisco Giants,80.0,,2021
Saves,Mark Melancon,San Diego Padres,39.0,,2021
Shutouts,Anthony DeSclafani,San Francisco Giants,2.0,,2021
Shutouts,Max Fried,Atlanta Braves,2.0,,2021
Shutouts,Joe Musgrove,San Diego Padres,2.0,,2021
Shutouts,Zack Wheeler,Philadelphia Phillies,2.0,,2021
Strikeouts,Zack Wheeler,Philadelphia Phillies,247.0,,2021
Winning Percentage,Julio Urias,Los Angeles Dodgers,0.87,,2021
Wins,Julio Urias,Los Angeles Dodgers,20.0,,2021
2021 N.L. History | 2021 A.L. History | Year-by-Year History,2021 N.L. History | 2021 A.L. History | Year-by-Year History,2021 N.L. History | 2021 A.L. History | Year-by-Year History,,,2021
East,Team | Roster,W,,,2021
East,Atlanta Braves,88,73.0,0.0,2021
East,Philadelphia Phillies,82,80.0,0.0,2021
East,New York Mets,77,85.0,0.0,2021
East,Miami Marlins,67,95.0,0.0,2021
East,Washington Nationals,65,97.0,0.0,2021
Central,Team | Roster,W,,,2021
Central,Milwaukee Brewers,95,67.0,0.0,2021
Central,St. Louis Cardinals,90,72.0,0.0,2021
Central,Cincinnati Reds,83,79.0,0.0,2021
Central,Chicago Cubs,71,91.0,0.0,2021
Central,Pittsburgh Pirates,61,101.0,0.0,2021
West,Team | Roster,W,,,2021
West,San Francisco Giants,107,55.0,0.0,2021
West,Los Angeles Dodgers,106,56.0,0.0,2021
West,San Diego Padres,79,83.0,0.0,2021
West,Colorado Rockies,74,87.0,0.0,2021
West,Arizona Diamondbacks,52,110.0,0.0,2021
N.L.,Team | Roster,w,,,2021
2021 National League Standings,2021 National League Standings,2021 National League Standings,,,2021
Base on Balls,Juan Soto,Washington Nationals,135.0,,2022
Base on Balls,Juan Soto,San Diego Padres,135.0,,2022
Batting Average,Jeff McNeil,New York Mets,0.326,,2022
Doubles,Freddie Freeman,Los Angeles Dodgers,44.0,,2022
Hits,Freddie Freeman,Los Angeles Dodgers,11.0,,2022
Home Runs,Kyle Schwarber,Philadelphia Phillies,46.0,,2022
On Base Percentage,Freddie Freeman,Los Angeles Dodgers,0.407,,2022
RBI,Pete Alonso,New York Mets,131.0,,2022
Runs,Mookie Betts,Los Angeles Dodgers,117.0,,2022
Runs,Freddie Freeman,Los Angeles Dodgers,117.0,,2022
Slugging Average,Paul Goldschmidt,St. Louis Cardinals,0.578,,2022
Stolen Bases,Jon Berti,Miami Marlins,41.0,,2022
Total Bases,Austin Riley,Atlanta Braves,325.0,,2022
Triples,Gavin Lux,Los Angeles Dodgers,7.0,,2022
Triples,Brandon Nimmo,New York Mets,7.0,,2022
2022 N.L. History | 2022 A.L. History | Year-by-Year History,2022 N.L. History | 2022 A.L. History | Year-by-Year History,2022 N.L. History | 2022 A.L. History | Year-by-Year History,,,2022
Complete Games,Sandy Alcantara,Miami Marlins,6.0,,2022
ERA,Julio Urías,Los Angeles Dodgers,2.16,,2022
Games,John Brebbia,San Francisco Giants,76.0,,2022
Saves,Kenley Jansen,Atlanta Braves,41.0,,2022
Shutouts,Sandy Alcantara,Miami Marlins,1.0,,2022
Shutouts,Walker Buehler,Los Angeles Dodgers,1.0,,2022
Shutouts,Bryce Elder,Atlanta Braves,1.0,,2022
Shutouts,Hunter Greene,Cincinnati Reds,1.0,,2022
Shutouts,Chad Kuhl,Colorado Rockies,1.0,,2022
Shutouts,Jordan Montgomery,St. Louis Cardinals,1.0,,2022
Shutouts,Aaron Nola,Philadelphia Phillies,1.0,,2022
Strikeouts,Corbin Burnes,Milwaukee Brewers,243.0,,2022
Winning Percentage,Kyle Wright,Atlanta Braves,0.808,,2022
Wins,Kyle Wright,Atlanta Braves,21.0,,2022
2022 N.L. History | 2022 A.L. History | Year-by-Year History,2022 N.L. History | 2022 A.L. History | Year-by-Year History,2022 N.L. History | 2022 A.L. History | Year-by-Year History,,,2022
East,Team | Roster,W,,,2022
East,Atlanta Braves,101,61.0,0.0,2022
East,New York Mets,101,61.0,0.0,2022
East,Philadelphia Phillies,87,75.0,0.0,2022
East,Miami Marlins,69,93.0,0.0,2022
East,Washington Nationals,55,107.0,0.0,2022
Central,Team | Roster,W,,,2022
Central,St. Louis Cardinals,93,69.0,0.0,2022
Central,Milwaukee Brewers,86,76.0,0.0,2022
Central,Chicago Cubs,74,88.0,0.0,2022
Central,Cincinnati Reds,62,100.0,0.0,2022
Central,Pittsburgh Pirates,62,100.0,0.0,2022
